Date,Time,Location,Vehicle_Count,Average_Speed,Congestion_Level,Weather
2025-01-03,10:30,Ratnapark,49,18.2,High,Cloudy
2025-01-06,9:15,Kalanki,98,34.8,Low,Fog
2025-03-05,13:00,Chabahil,50,31.4,Low,Rain
2025-02-21,12:30,Chabahil,49,36.5,High,Clear
2025-03-17,13:00,Lalitpur,936,32.8,Low,Rain
2025-04-06,11:30,Lalitpur,860,35.0,Medium,Clear
2025-04-15,12:00,Kalanki,53,34.3,High,Clear
2025-01-15,15:30,Ratnapark,100,36.8,Low,Cloudy
2025-03-29,15:00,Chabahil,105,32.9,High,Cloudy
2025-04-23,10:30,Bhaktapur,315,35.8,High,Clear
2025-04-05,9:15,Maharajgunj,104,53.3,High,Cloudy
2025-03-14,8:00,Chabahil,104,34.0,Low,Rain
2025-04-10,8:45,Baneshwor,97,5.7,Medium,Clear
2025-03-22,14:15,Lalitpur,698,39.2,High,Rain
2025-05-02,10:45,Ratnapark,50,36.1,Medium,Rain
2025-02-28,10:15,Lalitpur,45,33.5,Medium,Cloudy
2025-03-25,11:45,Baneshwor,99,32.8,Medium,Cloudy
2025-04-10,14:45,Bhaktapur,54,34.0,Low,Rain
2025-01-01,12:45,Koteshwor,50,36.4,Low,Fog
2025-01-30,8:45,Bhaktapur,55,35.2,Medium,Rain
2025-03-05,13:00,Chabahil,52,33.7,Low,Rain
2025-04-13,12:45,Bhaktapur,55,38.5,Low,Clear
2025-02-21,13:00,Koteshwor,355,32.7,Medium,Rain
2025-04-23,13:45,Maharajgunj,55,33.2,High,Cloudy
2025-04-17,10:30,Maharajgunj,97,39.4,High,Rain
2025-02-21,15:00,Kalanki,96,36.3,High,Cloudy
2025-01-26,10:45,Bhaktapur,98,35.3,Low,Rain
2025-01-03,14:15,Ratnapark,558,48.0,Medium,Fog
2025-04-21,10:30,Baneshwor,105,34.2,High,Clear
2025-03-13,12:15,Ratnapark,190,37.6,Low,Cloudy
2025-04-28,14:30,Chabahil,47,34.2,Low,Cloudy
2025-03-02,8:45,Ratnapark,98,1.1,Medium,Clear
2025-04-01,9:15,Ratnapark,47,34.2,High,Rain
2025-03-17,8:15,Lalitpur,54,0.0,Low,Clear
2025-04-25,10:30,Chabahil,96,50.4,Medium,Clear
2025-04-09,10:15,Koteshwor,48,34.5,Medium,Clear
2025-02-02,14:15,Maharajgunj,50,37.4,Medium,Cloudy
2025-03-14,14:00,Chabahil,884,36.4,Medium,Clear
2025-01-13,12:45,Bhaktapur,647,58.5,High,Cloudy
2025-04-27,14:00,Maharajgunj,49,35.0,Low,Fog
2025-04-05,9:00,Koteshwor,47,0.0,Medium,Fog
2025-03-06,12:15,Chabahil,434,30.6,High,Fog
2025-02-24,12:30,Chabahil,53,35.2,High,Clear
2025-01-30,13:45,Lalitpur,95,41.6,Low,Clear
2025-04-09,11:30,Kalanki,279,34.8,Medium,Fog
2025-03-27,15:30,Chabahil,45,33.9,Medium,Fog
2025-01-22,11:00,Lalitpur,51,35.9,High,Cloudy
2025-03-13,14:45,Baneshwor,100,34.8,Low,Clear
2025-01-06,13:45,Lalitpur,101,38.4,High,Clear
2025-03-08,11:45,Koteshwor,47,58.5,High,Rain
2025-01-17,12:00,Kalanki,97,36.9,Medium,Cloudy
2025-04-19,8:15,Lalitpur,427,36.5,Medium,Cloudy
2025-04-04,10:45,Bhaktapur,45,32.4,High,Clear
2025-01-31,10:30,Koteshwor,48,36.3,Medium,Fog
2025-01-11,10:00,Baneshwor,46,35.8,High,Cloudy
2025-04-15,13:00,Maharajgunj,54,50.2,High,Cloudy
2025-03-16,15:00,Maharajgunj,189,36.0,High,Rain
2025-04-01,8:30,Lalitpur,47,33.9,High,Clear
2025-03-13,11:30,Bhaktapur,813,40.4,Low,Clear
2025-03-15,13:00,Lalitpur,932,34.8,Low,Rain
2025-05-03,12:45,Chabahil,561,36.9,High,Clear
2025-03-27,10:00,Kalanki,350,34.1,Medium,Fog
2025-04-17,13:00,Maharajgunj,45,50.6,High,Cloudy
2025-01-02,13:15,Ratnapark,52,36.9,Low,Clear
2025-03-22,11:30,Lalitpur,45,35.7,High,Rain
2025-03-16,10:45,Kalanki,802,38.3,Low,Clear
2025-02-16,9:15,Maharajgunj,128,33.2,High,Clear
2025-04-17,14:45,Ratnapark,49,34.0,High,Rain
2025-02-10,13:00,Baneshwor,52,35.4,Medium,Clear
2025-03-26,13:45,Chabahil,53,36.8,Low,Fog
2025-03-06,8:15,Bhaktapur,200,43.4,Medium,Fog
2025-02-12,11:00,Maharajgunj,53,29.6,High,Clear
2025-03-03,13:45,Ratnapark,55,8.7,High,Rain
2025-02-02,13:45,Lalitpur,97,37.7,Low,Clear
2025-01-26,11:15,Ratnapark,329,19.6,High,Cloudy
2025-02-01,8:00,Chabahil,54,34.8,Low,Rain
2025-02-18,15:00,Maharajgunj,52,51.1,High,Rain
2025-02-20,14:00,Koteshwor,95,48.9,Low,Clear
2025-02-06,12:30,Koteshwor,811,39.3,High,Clear
2025-03-27,9:15,Maharajgunj,51,34.9,High,Cloudy
2025-03-23,15:00,Lalitpur,95,35.1,Low,Cloudy
2025-04-06,15:00,Lalitpur,54,34.4,Medium,Clear
2025-02-02,8:30,Lalitpur,54,34.6,Medium,Clear
2025-02-15,11:15,Ratnapark,100,34.2,High,Clear
2025-04-03,11:15,Chabahil,534,36.7,High,Cloudy
2025-02-28,13:30,Koteshwor,764,52.4,Low,Rain
2025-02-25,9:00,Bhaktapur,49,39.5,Medium,Fog
2025-03-25,13:45,Ratnapark,241,35.3,Low,Rain
2025-02-10,10:45,Kalanki,310,37.9,Low,Clear
2025-03-29,10:15,Baneshwor,45,40.3,Medium,Fog
2025-02-02,8:00,Chabahil,50,35.8,Low,Rain
2025-04-18,10:15,Bhaktapur,102,37.0,High,Rain
2025-01-29,13:00,Chabahil,102,36.2,Medium,Clear
2025-03-28,15:00,Chabahil,102,36.2,High,Cloudy
2025-03-28,12:15,Lalitpur,55,36.1,High,Fog
2025-04-20,10:00,Kalanki,119,32.8,Low,Cloudy
2025-02-16,11:45,Ratnapark,587,35.7,High,Clear
2025-03-31,10:15,Ratnapark,577,32.4,High,Rain
2025-03-19,9:15,Baneshwor,402,58.7,Medium,Rain
2025-03-01,12:15,Baneshwor,497,33.5,Medium,Rain
2025-01-28,12:15,Kalanki,49,35.7,Low,Fog
2025-03-30,10:45,Lalitpur,104,35.7,High,Rain
2025-01-13,12:30,Chabahil,228,36.0,Medium,Rain
2025-04-18,14:00,Bhaktapur,104,35.6,Medium,Rain
2025-03-08,9:30,Koteshwor,45,33.8,High,Cloudy
2025-02-25,13:00,Lalitpur,45,34.5,Low,Fog
2025-03-13,14:00,Chabahil,882,36.8,Medium,Clear
2025-02-06,13:45,Chabahil,850,37.1,Medium,Clear
2025-03-06,12:45,Baneshwor,560,42.7,Medium,Rain
2025-04-16,14:00,Kalanki,104,3.9,Low,Clear
2025-02-22,9:30,Bhaktapur,48,5.5,High,Rain
2025-02-18,10:45,Lalitpur,51,37.1,Medium,Rain
2025-01-15,12:30,Chabahil,231,37.4,Medium,Rain
2025-03-22,14:15,Lalitpur,693,33.2,High,Rain
2025-03-21,12:15,Ratnapark,99,35.6,High,Fog
2025-05-05,11:30,Chabahil,682,31.7,Medium,Clear
2025-01-09,11:30,Kalanki,788,35.8,Low,Cloudy
2025-04-04,10:45,Bhaktapur,47,37.8,High,Clear
2025-01-17,12:30,Chabahil,233,37.0,Medium,Rain
2025-01-01,9:45,Bhaktapur,49,22.2,Low,Rain
2025-03-24,8:00,Baneshwor,54,34.6,Medium,Clear
2025-01-31,9:45,Kalanki,104,11.1,Low,Fog
2025-03-10,11:45,Koteshwor,298,35.2,Low,Clear
2025-04-24,8:45,Ratnapark,332,23.8,Low,Cloudy
2025-04-08,12:00,Baneshwor,539,35.8,Medium,Fog
2025-01-30,8:00,Chabahil,47,29.1,Low,Rain
2025-02-18,15:00,Maharajgunj,45,47.4,High,Rain
2025-02-21,8:15,Ratnapark,54,30.6,Medium,Cloudy
2025-03-24,12:00,Ratnapark,47,10.4,Low,Cloudy
2025-01-15,13:15,Chabahil,103,35.5,High,Fog
2025-01-10,10:45,Maharajgunj,104,14.6,Low,Rain
2025-04-01,15:00,Chabahil,105,33.1,High,Cloudy
2025-04-02,15:15,Baneshwor,105,18.3,Medium,Clear
2025-03-31,10:15,Ratnapark,580,36.4,High,Rain
2025-04-02,11:15,Chabahil,544,32.5,High,Cloudy
2025-02-25,14:45,Lalitpur,100,32.1,Low,Rain
2025-01-26,9:30,Koteshwor,98,35.0,Low,Rain
2025-04-22,11:00,Ratnapark,52,38.6,High,Cloudy
2025-03-01,9:30,Chabahil,316,63.4,Medium,Fog
2025-01-29,9:30,Baneshwor,51,36.1,Medium,Rain
2025-01-27,9:00,Kalanki,941,33.5,High,Rain
2025-01-13,13:00,Bhaktapur,925,36.8,Low,Rain
2025-02-16,10:45,Baneshwor,130,34.1,Medium,Fog
2025-04-13,12:45,Bhaktapur,49,33.5,Low,Clear
2025-02-07,10:15,Bhaktapur,98,30.7,Medium,Cloudy
2025-02-04,9:00,Lalitpur,100,35.2,Low,Rain
2025-04-21,12:45,Ratnapark,96,17.7,High,Cloudy
2025-04-26,15:00,Ratnapark,97,17.2,Low,Rain
2025-03-19,11:45,Ratnapark,45,30.4,High,Cloudy
2025-01-27,11:15,Ratnapark,96,56.3,Low,Cloudy
2025-05-01,14:45,Ratnapark,305,30.1,High,Clear
2025-03-06,14:30,Kalanki,52,37.2,Medium,Clear
2025-04-08,13:45,Ratnapark,102,36.0,High,Rain
2025-01-21,10:00,Baneshwor,96,42.4,Low,Cloudy
2025-03-20,10:00,Baneshwor,100,36.1,High,Rain
2025-01-28,15:30,Koteshwor,618,33.0,Low,Rain
2025-01-19,11:30,Baneshwor,362,35.1,Low,Cloudy
2025-01-25,8:30,Lalitpur,773,36.6,Low,Rain
2025-02-14,9:30,Baneshwor,99,28.8,Medium,Fog
2025-03-02,12:15,Baneshwor,99,6.1,Low,Fog
2025-02-16,10:00,Lalitpur,97,35.0,Medium,Clear
2025-04-11,8:00,Lalitpur,649,34.6,High,Rain
2025-03-30,13:15,Maharajgunj,48,37.9,Low,Clear
2025-04-10,9:00,Chabahil,51,32.8,High,Fog
2025-05-03,14:30,Maharajgunj,46,33.8,Medium,Rain
2025-05-03,14:30,Baneshwor,104,12.2,Medium,Cloudy
2025-02-20,8:15,Ratnapark,48,38.0,Medium,Cloudy
2025-02-13,12:00,Chabahil,98,34.5,High,Clear
2025-03-08,14:30,Kalanki,45,34.1,Medium,Clear
2025-01-21,15:45,Bhaktapur,711,34.9,High,Fog
2025-01-20,14:30,Koteshwor,102,36.3,Medium,Fog
2025-04-24,10:30,Chabahil,95,51.7,Medium,Clear
2025-04-03,13:15,Bhaktapur,102,40.3,Low,Fog
2025-04-20,11:00,Baneshwor,51,35.9,Medium,Fog
2025-03-07,15:45,Ratnapark,641,34.1,Low,Rain
2025-05-01,11:15,Bhaktapur,102,33.9,Low,Clear
2025-05-04,11:30,Bhaktapur,445,34.2,Medium,Fog
2025-03-25,13:45,Chabahil,52,32.0,Low,Fog
2025-03-15,11:30,Chabahil,105,35.1,High,Fog
2025-02-11,12:30,Baneshwor,104,36.6,Medium,Rain
2025-04-27,10:30,Bhaktapur,308,33.8,High,Clear
2025-03-23,15:00,Koteshwor,54,24.4,High,Fog
2025-04-13,10:45,Bhaktapur,51,38.0,Medium,Clear
2025-05-05,12:45,Chabahil,556,32.1,High,Clear
2025-03-04,13:45,Ratnapark,49,5.9,High,Rain
2025-05-02,13:00,Koteshwor,53,32.7,Low,Clear
2025-01-22,13:00,Chabahil,51,31.9,High,Rain
2025-02-22,13:30,Maharajgunj,98,23.8,Medium,Fog
2025-02-10,10:30,Ratnapark,100,34.3,High,Clear
2025-03-20,12:00,Chabahil,54,16.6,High,Rain
2025-02-06,9:45,Ratnapark,978,6.3,Medium,Fog
2025-04-09,9:00,Chabahil,51,33.6,High,Fog
2025-01-22,10:00,Baneshwor,104,44.6,Low,Cloudy
2025-02-14,12:00,Chabahil,103,38.0,High,Clear
2025-03-25,11:30,Ratnapark,98,34.1,High,Cloudy
2025-03-14,10:45,Lalitpur,54,36.5,Medium,Rain
2025-04-24,9:00,Kalanki,97,34.5,Medium,Cloudy
2025-01-03,9:45,Bhaktapur,52,25.8,Low,Rain
2025-04-26,11:00,Chabahil,95,23.9,High,Fog
2025-02-09,11:00,Bhaktapur,103,31.7,Low,Clear
2025-01-31,15:00,Koteshwor,95,34.2,High,Clear
2025-03-29,8:30,Maharajgunj,46,33.2,Low,Rain
2025-02-25,15:30,Chabahil,102,34.0,Low,Fog
2025-01-04,14:30,Lalitpur,214,34.6,High,Fog
2025-01-19,12:00,Kalanki,101,36.4,Medium,Cloudy
2025-01-04,8:15,Chabahil,97,34.2,High,Cloudy
2025-01-26,12:15,Kalanki,51,33.4,Low,Fog
2025-01-14,15:30,Ratnapark,100,34.3,Low,Cloudy
2025-03-29,12:00,Maharajgunj,589,33.5,Low,Clear
2025-04-18,14:45,Baneshwor,852,33.1,Low,Fog
2025-01-27,13:00,Chabahil,105,31.8,High,Cloudy
2025-01-18,8:45,Kalanki,54,35.1,Medium,Rain
2025-02-21,9:45,Bhaktapur,54,6.9,Medium,Rain
2025-01-22,14:45,Maharajgunj,99,59.9,Medium,Rain
2025-01-06,15:15,Bhaktapur,54,15.1,Low,Clear
2025-01-16,12:30,Baneshwor,393,22.9,Low,Clear
2025-03-28,8:00,Ratnapark,46,34.6,Low,Cloudy
2025-05-01,10:15,Koteshwor,98,33.1,Low,Rain
2025-03-22,15:00,Lalitpur,102,34.5,Low,Cloudy
2025-03-17,12:15,Kalanki,99,32.6,Low,Fog
2025-03-25,12:15,Ratnapark,103,32.3,High,Fog
2025-02-22,11:00,Maharajgunj,54,54.1,Low,Fog
2025-02-23,13:15,Chabahil,259,35.3,Medium,Cloudy
2025-01-14,12:15,Kalanki,102,35.3,Low,Rain
2025-04-20,13:45,Maharajgunj,697,31.6,High,Clear
2025-01-30,15:00,Koteshwor,96,35.7,High,Clear
2025-01-31,11:15,Maharajgunj,96,37.3,Low,Cloudy
2025-01-15,8:30,Koteshwor,972,18.3,Medium,Rain
2025-03-06,12:45,Baneshwor,560,46.3,Medium,Rain
2025-03-01,13:45,Ratnapark,54,7.7,High,Rain
2025-01-15,15:30,Ratnapark,103,35.6,Low,Cloudy
2025-01-23,10:30,Maharajgunj,651,36.3,Medium,Cloudy
2025-04-24,15:15,Lalitpur,799,31.4,Low,Fog
2025-04-29,11:45,Ratnapark,95,9.8,High,Fog
2025-04-26,10:15,Bhaktapur,871,24.8,High,Clear
2025-04-26,8:00,Koteshwor,100,36.8,Low,Cloudy
2025-02-11,12:30,Baneshwor,97,31.9,Medium,Rain
2025-03-31,15:15,Chabahil,97,45.6,High,Cloudy
2025-04-16,13:45,Maharajgunj,47,39.2,Low,Clear
2025-01-20,13:15,Chabahil,97,8.6,Low,Clear
2025-04-07,11:00,Ratnapark,51,33.7,Low,Cloudy
2025-03-30,9:15,Baneshwor,104,36.3,Low,Clear
2025-01-21,11:30,Chabahil,105,36.7,High,Cloudy
2025-03-17,12:30,Kalanki,96,54.3,Low,Rain
2025-04-17,11:45,Bhaktapur,54,37.0,Low,Clear
2025-02-23,13:00,Koteshwor,356,33.7,Medium,Rain
2025-02-04,14:00,Lalitpur,96,31.3,Medium,Clear
2025-04-17,14:45,Baneshwor,852,34.8,Low,Fog
2025-05-03,9:00,Koteshwor,54,33.2,High,Rain
2025-03-07,10:00,Koteshwor,101,1.6,High,Rain
2025-04-27,10:15,Bhaktapur,868,23.3,High,Clear
2025-02-18,11:30,Baneshwor,287,53.5,Low,Cloudy
2025-01-21,10:00,Ratnapark,53,32.3,Medium,Clear
2025-01-26,8:30,Ratnapark,105,38.7,Low,Fog
2025-02-14,10:45,Baneshwor,129,35.6,Medium,Fog
2025-03-24,13:45,Chabahil,55,35.9,Low,Fog
2025-01-06,10:30,Ratnapark,48,16.8,High,Cloudy
2025-04-02,10:30,Chabahil,51,35.0,High,Clear
2025-03-04,9:15,Bhaktapur,103,34.7,Medium,Rain
2025-05-05,14:30,Maharajgunj,52,37.0,Medium,Rain
2025-04-25,14:30,Bhaktapur,52,34.0,Low,Cloudy
2025-03-02,11:45,Bhaktapur,347,33.5,Low,Fog
2025-02-20,15:30,Chabahil,667,34.1,High,Clear
2025-01-05,15:45,Bhaktapur,49,10.4,High,Clear
2025-04-08,13:45,Baneshwor,97,33.4,High,Cloudy
2025-03-30,8:00,Ratnapark,607,10.4,High,Fog
2025-01-06,15:45,Chabahil,102,33.3,High,Fog
2025-01-30,11:45,Bhaktapur,99,8.4,Medium,Cloudy
2025-02-17,10:00,Kalanki,48,15.4,Medium,Rain
2025-03-12,8:45,Maharajgunj,102,34.3,High,Clear
2025-02-28,15:00,Chabahil,101,36.4,High,Clear
2025-04-13,14:00,Lalitpur,50,36.4,Low,Rain
2025-02-07,12:30,Koteshwor,808,42.8,High,Clear
2025-01-05,11:15,Lalitpur,49,33.4,Low,Clear
2025-01-31,9:45,Ratnapark,224,35.3,Low,Cloudy
2025-02-07,14:00,Lalitpur,96,26.4,Medium,Clear
2025-04-14,14:45,Ratnapark,48,35.8,High,Rain
2025-03-20,10:00,Baneshwor,102,35.0,High,Rain
2025-02-07,13:00,Ratnapark,106,31.7,High,Rain
2025-04-25,11:00,Koteshwor,105,37.4,Medium,Cloudy
2025-03-06,15:30,Koteshwor,45,6.7,High,Clear
2025-03-01,15:30,Chabahil,96,36.2,Low,Fog
2025-04-18,12:45,Maharajgunj,749,33.5,Low,Rain
2025-04-19,14:45,Baneshwor,858,35.2,Low,Fog
2025-03-27,12:00,Maharajgunj,597,32.6,Low,Clear
2025-03-08,11:00,Baneshwor,105,49.7,Low,Fog
2025-03-16,8:00,Chabahil,105,34.8,Low,Rain
2025-01-26,13:00,Chabahil,101,23.6,High,Cloudy
2025-01-09,10:30,Ratnapark,715,35.2,Low,Rain
2025-03-10,15:30,Koteshwor,49,9.3,High,Cloudy
